,ticker,GICS Sector,time_span,time_value,start_date
324,TAP,Consumer Staples,hour,1,3/22/2024
325,MDLZ,Consumer Staples,hour,1,3/22/2024
326,MPWR,Information Technology,hour,1,3/22/2024
327,MNST,Consumer Staples,hour,1,3/22/2024
328,MCO,Financials,hour,1,3/22/2024
329,MS,Financials,hour,1,3/22/2024
330,MOS,Materials,hour,1,3/22/2024
331,MSI,Information Technology,hour,1,3/22/2024
332,MSCI,Financials,hour,1,3/22/2024
333,NDAQ,Financials,hour,1,3/22/2024
334,NTAP,Information Technology,hour,1,3/22/2024
335,NFLX,Communication Services,hour,1,3/22/2024
336,NEM,Materials,hour,1,3/22/2024
337,NWSA,Communication Services,hour,1,3/22/2024
338,NWS,Communication Services,hour,1,3/22/2024
339,NEE,Utilities,hour,1,3/22/2024
340,NKE,Consumer Discretionary,hour,1,3/22/2024
341,NI,Utilities,hour,1,3/22/2024
342,NDSN,Industrials,hour,1,3/22/2024
343,NSC,Industrials,hour,1,3/22/2024
344,NTRS,Financials,hour,1,3/22/2024
345,NOC,Industrials,hour,1,3/22/2024
346,NCLH,Consumer Discretionary,hour,1,3/22/2024
347,NRG,Utilities,hour,1,3/22/2024
348,NUE,Materials,hour,1,3/22/2024
349,NVDA,Information Technology,hour,1,3/22/2024
350,NVR,Consumer Discretionary,hour,1,3/22/2024
351,NXPI,Information Technology,hour,1,3/22/2024
352,ORLY,Consumer Discretionary,hour,1,3/22/2024
353,OXY,Energy,hour,1,3/22/2024
354,ODFL,Industrials,hour,1,3/22/2024
355,OMC,Communication Services,hour,1,3/22/2024
356,ON,Information Technology,hour,1,3/22/2024
357,OKE,Energy,hour,1,3/22/2024
358,ORCL,Information Technology,hour,1,3/22/2024
359,OTIS,Industrials,hour,1,3/22/2024
360,PCAR,Industrials,hour,1,3/22/2024
361,PKG,Materials,hour,1,3/22/2024
362,PANW,Information Technology,hour,1,3/22/2024
363,PARA,Communication Services,hour,1,3/22/2024
364,PH,Industrials,hour,1,3/22/2024
365,PAYX,Industrials,hour,1,3/22/2024
366,PAYC,Industrials,hour,1,3/22/2024
367,PYPL,Financials,hour,1,3/22/2024
368,PNR,Industrials,hour,1,3/22/2024
369,PEP,Consumer Staples,hour,1,3/22/2024
370,PFE,Health Care,hour,1,3/22/2024
371,PCG,Utilities,hour,1,3/22/2024
372,PM,Consumer Staples,hour,1,3/22/2024
373,PSX,Energy,hour,1,3/22/2024
374,PNW,Utilities,hour,1,3/22/2024
375,PXD,Energy,hour,1,3/22/2024
376,PNC,Financials,hour,1,3/22/2024
377,POOL,Consumer Discretionary,hour,1,3/22/2024
378,PPG,Materials,hour,1,3/22/2024
379,PPL,Utilities,hour,1,3/22/2024
380,PFG,Financials,hour,1,3/22/2024
381,PG,Consumer Staples,hour,1,3/22/2024
382,PGR,Financials,hour,1,3/22/2024
383,PLD,Real Estate,hour,1,3/22/2024
384,PRU,Financials,hour,1,3/22/2024
385,PEG,Utilities,hour,1,3/22/2024
386,PTC,Information Technology,hour,1,3/22/2024
387,PSA,Real Estate,hour,1,3/22/2024
388,PHM,Consumer Discretionary,hour,1,3/22/2024
389,QRVO,Information Technology,hour,1,3/22/2024
390,PWR,Industrials,hour,1,3/22/2024
391,QCOM,Information Technology,hour,1,3/22/2024
392,DGX,Health Care,hour,1,3/22/2024
393,RL,Consumer Discretionary,hour,1,3/22/2024
394,RJF,Financials,hour,1,3/22/2024
395,RTX,Industrials,hour,1,3/22/2024
396,O,Real Estate,hour,1,3/22/2024
397,REG,Real Estate,hour,1,3/22/2024
398,REGN,Health Care,hour,1,3/22/2024
399,RF,Financials,hour,1,3/22/2024
